"yil","aldigi_sehir","sehir","sayi"
"","","Göç Alan:Aksaray","95"
"","","Göç Alan:Amasya","47"
"","","Göç Alan:Ankara","1992"
"","","Göç Alan:Antalya","2225"
"","","Göç Alan:Ardahan","22"
"","","Göç Alan:Artvin","51"
"","","Göç Alan:Aydın","788"
"","","Göç Alan:Balıkesir","360"
"","","Göç Alan:Bartın","37"
"","","Göç Alan:Batman","66"
"","","Göç Alan:Bayburt","11"
"","","Göç Alan:Bilecik","176"
"","","Göç Alan:Bingöl","50"
"","","Göç Alan:Bitlis","40"
"","","Göç Alan:Bolu","72"
"","","Göç Alan:Burdur","398"
"","","Göç Alan:Bursa","707"
"","","Göç Alan:Çanakkale","139"
"","","Göç Alan:Çankırı","56"
"","","Göç Alan:Çorum","72"
"","","Göç Alan:Denizli","2325"
"","","Göç Alan:Diyarbakır","137"
"","","Göç Alan:Düzce","32"
"","","Göç Alan:Edirne","102"
"","","Göç Alan:Elazığ","76"
"","","Göç Alan:Erzincan","48"
"","","Göç Alan:Erzurum","136"
"","","Göç Alan:Eskişehir","2194"
"","","Göç Alan:Gaziantep","220"
"","","Göç Alan:Giresun","48"
"","","Göç Alan:Gümüşhane","58"
"","","Göç Alan:Hakkari","44"
"","","Göç Alan:Hatay","193"
"","","Göç Alan:Iğdır","28"
"","","Göç Alan:Isparta","920"
"","","Göç Alan:İstanbul","2231"
"","","Göç Alan:İzmir","2593"
"","","Göç Alan:Kahramanmaraş","141"
"","","Göç Alan:Karabük","65"
"","","Göç Alan:Karaman","97"
"","","Göç Alan:Kars","67"
"","","Göç Alan:Kastamonu","69"
"","","Göç Alan:Kayseri","148"
"","","Göç Alan:Kilis","34"
"","","Göç Alan:Kırıkkale","99"
"","","Göç Alan:Kırklareli","56"
"","","Göç Alan:Kırşehir","72"
"","","Göç Alan:Kocaeli","645"
"","","Göç Alan:Konya","1536"
"","","Göç Alan:Kütahya","671"
"","","Göç Alan:Malatya","93"
"","","Göç Alan:Manisa","715"
"","","Göç Alan:Mardin","114"
"","","Göç Alan:Mersin","364"
"","","Göç Alan:Muğla","483"
"","","Göç Alan:Muş","55"
"","","Göç Alan:Nevşehir","67"
"","","Göç Alan:Niğde","59"
"","","Göç Alan:Ordu","95"
"","","Göç Alan:Osmaniye","116"
"","","Göç Alan:Rize","32"
"","","Göç Alan:Sakarya","153"
"","","Göç Alan:Samsun","126"
"","","Göç Alan:Şanlıurfa","213"
"","","Göç Alan:Siirt","66"
"","","Göç Alan:Sinop","25"
"","","Göç Alan:Şırnak","120"
"","","Göç Alan:Sivas","90"
"","","Göç Alan:Tekirdağ","173"
"","","Göç Alan:Tokat","78"
"","","Göç Alan:Trabzon","50"
"","","Göç Alan:Tunceli","37"
"","","Göç Alan:Uşak","522"
"","","Göç Alan:Van","106"
"","","Göç Alan:Yalova","38"
"","","Göç Alan:Yozgat","66"
"","","Göç Alan:Zonguldak","79"
"","Ağrı-4","Göç Alan:Adana","244"
"","","Göç Alan:Adıyaman","112"
"","","Göç Alan:Afyonkarahisar","166"
"","","Göç Alan:Ağrı","0"
"","","Göç Alan:Aksaray","51"
"","","Göç Alan:Amasya","86"
"","","Göç Alan:Ankara","2749"
"","","Göç Alan:Antalya","602"
"","","Göç Alan:Ardahan","49"
"","","Göç Alan:Artvin","57"
"","","Göç Alan:Aydın","604"
"","","Göç Alan:Balıkesir","364"
"","","Göç Alan:Bartın","20"
"","","Göç Alan:Batman","114"
"","","Göç Alan:Bayburt","58"
"","","Göç Alan:Bilecik","101"
"","","Göç Alan:Bingöl","58"
"","","Göç Alan:Bitlis","260"
"","","Göç Alan:Bolu","162"
"","","Göç Alan:Burdur","126"
"","","Göç Alan:Bursa","1620"
"","","Göç Alan:Çanakkale","243"
"","","Göç Alan:Çankırı","84"
"","","Göç Alan:Çorum","117"
"","","Göç Alan:Denizli","402"
"","","Göç Alan:Diyarbakır","257"
"","","Göç Alan:Düzce","185"
"","","Göç Alan:Edirne","165"
"","","Göç Alan:Elazığ","95"
"","","Göç Alan:Erzincan","119"
"","","Göç Alan:Erzurum","539"
"","","Göç Alan:Eskişehir","616"
"","","Göç Alan:Gaziantep","191"
"","","Göç Alan:Giresun","102"
"","","Göç Alan:Gümüşhane","78"
"","","Göç Alan:Hakkari","72"
"","","Göç Alan:Hatay","174"
"","","Göç Alan:Iğdır","868"
"","","Göç Alan:Isparta","117"
"","","Göç Alan:İstanbul","7510"
"","","Göç Alan:İzmir","2172"
"","","Göç Alan:Kahramanmaraş","164"
"","","Göç Alan:Karabük","95"
"","","Göç Alan:Karaman","28"
"","","Göç Alan:Kars","183"
"","","Göç Alan:Kastamonu","102"
"","","Göç Alan:Kayseri","584"
"","","Göç Alan:Kilis","30"
"","","Göç Alan:Kırıkkale","63"
"","","Göç Alan:Kırklareli","109"
"","","Göç Alan:Kırşehir","92"
"","","Göç Alan:Kocaeli","1371"
"","","Göç Alan:Konya","602"
"","","Göç Alan:Kütahya","106"
"","","Göç Alan:Malatya","172"
"","","Göç Alan:Manisa","441"
"","","Göç Alan:Mardin","95"
"","","Göç Alan:Mersin","319"
"","","Göç Alan:Muğla","377"
"","","Göç Alan:Muş","182"
"","","Göç Alan:Nevşehir","63"
"","","Göç Alan:Niğde","58"
"","","Göç Alan:Ordu","129"
"","","Göç Alan:Osmaniye","74"
"","","Göç Alan:Rize","98"
"","","Göç Alan:Sakarya","385"
"","","Göç Alan:Samsun","136"
"","","Göç Alan:Şanlıurfa","203"
"","","Göç Alan:Siirt","79"
"","","Göç Alan:Sinop","58"
"","","Göç Alan:Şırnak","58"
"","","Göç Alan:Sivas","183"
"","","Göç Alan:Tekirdağ","555"
"","","Göç Alan:Tokat","181"
"","","Göç Alan:Trabzon","471"
"","","Göç Alan:Tunceli","37"
"","","Göç Alan:Uşak","133"
"","","Göç Alan:Van","959"
"","","Göç Alan:Yalova","110"
"","","Göç Alan:Yozgat","105"
"","","Göç Alan:Zonguldak","96"
"","Aksaray-68","Göç Alan:Adana","442"
"","","Göç Alan:Adıyaman","43"
"","","Göç Alan:Afyonkarahisar","123"
"","","Göç Alan:Ağrı","48"
"","","Göç Alan:Aksaray","0"
"","","Göç Alan:Amasya","34"
"","","Göç Alan:Ankara","2106"
"","","Göç Alan:Antalya","652"
"","","Göç Alan:Ardahan","6"
"","","Göç Alan:Artvin","13"
"","","Göç Alan:Aydın","182"
"","","Göç Alan:Balıkesir","116"
"","","Göç Alan:Bartın","20"
"","","Göç Alan:Batman","32"
"","","Göç Alan:Bayburt","23"
"","","Göç Alan:Bilecik","19"
"","","Göç Alan:Bingöl","22"
