"cinsiyet","","","yil","il","sayi",""
"","","","","Aydın(Didim)-2000","480",""
"","","","","Aydın(Efeler)-2076","1930",""
"","","","","Aydın(Germencik)-1348","339",""
"","","","","Aydın(İncirliova)-1807","406",""
"","","","","Aydın(Karacasu)-1435","112",""
"","","","","Aydın(Karpuzlu)-1957","70",""
"","","","","Aydın(Koçarlı)-1479","118",""
"","","","","Aydın(Köşk)-1968","178",""
"","","","","Aydın(Kuşadası)-1497","660",""
"","","","","Aydın(Kuyucak)-1498","152",""
"","","","","Aydın(Nazilli)-1542","934",""
"","","","","Aydın(Söke)-1637","885",""
"","","","","Aydın(Sultanhisar)-1640","145",""
"","","","","Aydın(Yenipazar)-1724","47",""
"","","","","Balıkesir(Altıeylül)-2077","1137",""
"","","","","Balıkesir(Ayvalık)-1161","375",""
"","","","","Balıkesir(Balya)-1169","57",""
"","","","","Balıkesir(Bandırma)-1171","906",""
"","","","","Balıkesir(Bigadiç)-1191","282",""
"","","","","Balıkesir(Burhaniye)-1216","319",""
"","","","","Balıkesir(Dursunbey)-1291","229",""
"","","","","Balıkesir(Edremit)-1294","842",""
"","","","","Balıkesir(Erdek)-1310","177",""
"","","","","Balıkesir(Gömeç)-1928","80",""
"","","","","Balıkesir(Gönen)-1360","420",""
"","","","","Balıkesir(Havran)-1384","191",""
"","","","","Balıkesir(İvrindi)-1418","180",""
"","","","","Balıkesir(Karesi)-2078","1055",""
"","","","","Balıkesir(Kepsut)-1462","100",""
"","","","","Balıkesir(Manyas)-1514","97",""
"","","","","Balıkesir(Marmara)-1824","48",""
"","","","","Balıkesir(Savaştepe)-1608","107",""
"","","","","Balıkesir(Sındırgı)-1619","136",""
"","","","","Balıkesir(Susurluk)-1644","243",""
"","","","","Bartın(Amasra)-1761","94",""
"","","","","Bartın(Kurucaşile)-1496","34",""
"","","","","Bartın(Merkez)-1172","951",""
"","","","","Bartın(Ulus)-1701","104",""
"","","","","Batman(Beşiri)-1184","417",""
"","","","","Batman(Gercüş)-1345","262",""
"","","","","Batman(Hasankeyf)-1941","76",""
"","","","","Batman(Kozluk)-1487","769",""
"","","","","Batman(Merkez)-1174","5621",""
"","","","","Batman(Sason)-1607","384",""
"","","","","Bayburt(Aydıntepe)-1767","34",""
"","","","","Bayburt(Demirözü)-1788","81",""
"","","","","Bayburt(Merkez)-1176","529",""
"","","","","Bilecik(Bozüyük)-1210","558",""
"","","","","Bilecik(Gölpazarı)-1359","38",""
"","","","","Bilecik(İnhisar)-1948","11",""
"","","","","Bilecik(Merkez)-1192","502",""
"","","","","Bilecik(Osmaneli)-1559","146",""
"","","","","Bilecik(Pazaryeri)-1571","50",""
"","","","","Bilecik(Söğüt)-1636","116",""
"","","","","Bilecik(Yenipazar)-1857","6",""
"","","","","Bingöl(Adaklı)-1750","81",""
"","","","","Bingöl(Genç)-1344","374",""
"","","","","Bingöl(Karlıova)-1446","441",""
"","","","","Bingöl(Kiğı)-1475","33",""
"","","","","Bingöl(Merkez)-1193","1688",""
"","","","","Bingöl(Solhan)-1633","382",""
"","","","","Bingöl(Yayladere)-1855","7",""
"","","","","Bingöl(Yedisu)-1996","22",""
"","","","","Bitlis(Adilcevaz)-1106","559",""
"","","","","Bitlis(Ahlat)-1112","544",""
"","","","","Bitlis(Güroymak)-1798","707",""
"","","","","Bitlis(Hizan)-1394","461",""
"","","","","Bitlis(Merkez)-1196","809",""
"","","","","Bitlis(Mutki)-1537","472",""
"","","","","Bitlis(Tatvan)-1669","1177",""
"","","","","Bolu(Dörtdivan)-1916","34",""
"","","","","Bolu(Gerede)-1346","228",""
"","","","","Bolu(Göynük)-1364","106",""
"","","","","Bolu(Kıbrıscık)-1466","12",""
"","","","","Bolu(Mengen)-1522","67",""
"","","","","Bolu(Merkez)-1199","1217",""
"","","","","Bolu(Mudurnu)-1531","121",""
"","","","","Bolu(Seben)-1610","13",""
"","","","","Bolu(Yeniçağa)-1997","46",""
"","","","","Burdur(Ağlasun)-1109","43",""
"","","","","Burdur(Altınyayla)-1874","31",""
"","","","","Burdur(Bucak)-1211","428",""
"","","","","Burdur(Çavdır)-1899","88",""
"","","","","Burdur(Çeltikçi)-1903","14",""
"","","","","Burdur(Gölhisar)-1357","137",""
"","","","","Burdur(Karamanlı)-1813","62",""
"","","","","Burdur(Kemer)-1816","14",""
"","","","","Burdur(Merkez)-1215","649",""
"","","","","Burdur(Tefenni)-1672","57",""
"","","","","Burdur(Yeşilova)-1728","85",""
"","","","","Bursa(Büyükorhan)-1783","60",""
"","","","","Bursa(Gemlik)-1343","683",""
"","","","","Bursa(Gürsu)-1935","714",""
"","","","","Bursa(Harmancık)-1799","29",""
"","","","","Bursa(İnegöl)-1411","2141",""
"","","","","Bursa(İznik)-1420","231",""
"","","","","Bursa(Karacabey)-1434","551",""
"","","","","Bursa(Keles)-1457","62",""
"","","","","Bursa(Kestel)-1960","385",""
"","","","","Bursa(Mudanya)-1530","453",""
"","","","","Bursa(Mustafakemalpaşa)-1535","652",""
"","","","","Bursa(Nilüfer)-1829","2879",""
"","","","","Bursa(Orhaneli)-1553","121",""
"","","","","Bursa(Orhangazi)-1554","569",""
"","","","","Bursa(Osmangazi)-1832","6373",""
"","","","","Bursa(Yenişehir)-1725","366",""
"","","","","Bursa(Yıldırım)-1859","5715",""
"","","","","Çanakkale(Ayvacık)-1160","186",""
"","","","","Çanakkale(Bayramiç)-1180","160",""
"","","","","Çanakkale(Biga)-1190","487",""
"","","","","Çanakkale(Bozcaada)-1205","12",""
"","","","","Çanakkale(Çan)-1229","299",""
"","","","","Çanakkale(Eceabat)-1293","37",""
"","","","","Çanakkale(Ezine)-1326","195",""
"","","","","Çanakkale(Gelibolu)-1340","244",""
"","","","","Çanakkale(Gökçeada)-1408","55",""
"","","","","Çanakkale(Lapseki)-1503","151",""
"","","","","Çanakkale(Merkez)-1230","901",""
"","","","","Çanakkale(Yenice)-1722","136",""
"","","","","Çankırı(Atkaracalar)-1765","26",""
"","","","","Çankırı(Bayramören)-1885","12",""
"","","","","Çankırı(Çerkeş)-1248","105",""
"","","","","Çankırı(Eldivan)-1300","24",""
"","","","","Çankırı(Ilgaz)-1399","88",""
"","","","","Çankırı(Kızılırmak)-1817","51",""
"","","","","Çankırı(Korgun)-1963","12",""
"","","","","Çankırı(Kurşunlu)-1494","60",""
"","","","","Çankırı(Merkez)-1232","606",""
"","","","","Çankırı(Orta)-1555","80",""
"","","","","Çankırı(Şabanözü)-1649","78",""
"","","","","Çankırı(Yapraklı)-1718","59",""
"","","","","Çorum(Alaca)-1124","246",""
"","","","","Çorum(Bayat)-1177","143",""
"","","","","Çorum(Boğazkale)-1778","21",""
"","","","","Çorum(Dodurga)-1911","26",""
"","","","","Çorum(İskilip)-1414","228",""
"","","","","Çorum(Kargı)-1445","63",""
"","","","","Çorum(Laçin)-1972","28",""
"","","","","Çorum(Mecitözü)-1520","105",""
"","","","","Çorum(Merkez)-1259","2056",""
"","","","","Çorum(Oğuzlar)-1976","44",""
"","","","","Çorum(Ortaköy)-1556","56",""
"","","","","Çorum(Osmancık)-1558","302",""
"","","","","Çorum(Sungurlu)-1642","343",""
"","","","","Çorum(Uğurludağ)-1850","35",""
"","","","","Denizli(Acıpayam)-1102","344",""
"","","","","Denizli(Babadağ)-1769","44",""
"","","","","Denizli(Baklan)-1881","23",""
"","","","","Denizli(Bekilli)-1774","29",""
"","","","","Denizli(Beyağaç)-1888","39",""
"","","","","Denizli(Bozkurt)-1889","65",""
"","","","","Denizli(Buldan)-1214","189",""
"","","","","Denizli(Çal)-1224","101",""
"","","","","Denizli(Çameli)-1226","78",""
"","","","","Denizli(Çardak)-1233","58",""
"","","","","Denizli(Çivril)-1257","422",""
"","","","","Denizli(Güney)-1371","74",""
"","","","","Denizli(Honaz)-1803","237",""
"","","","","Denizli(Kale)-1426","154",""
"","","","","Denizli(Merkezefendi)-2079","2343",""
"","","","","Denizli(Pamukkale)-1871","2451",""
"","","","","Denizli(Sarayköy)-1597","202",""
"","","","","Denizli(Serinhisar)-1840","85",""
"","","","","Denizli(Tavas)-1670","248",""
"","","","","Diyarbakır(Bağlar)-2040","5211",""
"","","","","Diyarbakır(Bismil)-1195","1576",""
"","","","","Diyarbakır(Çermik)-1249","656",""
"","","","","Diyarbakır(Çınar)-1253","1204",""
"","","","","Diyarbakır(Çüngüş)-1263","138",""
"","","","","Diyarbakır(Dicle)-1278","552",""
"","","","","Diyarbakır(Eğil)-1791","308",""
"","","","","Diyarbakır(Ergani)-1315","1718",""
"","","","","Diyarbakır(Hani)-1381","504",""
"","","","","Diyarbakır(Hazro)-1389","257",""
"","","","","Diyarbakır(Kayapınar)-2041","3809",""
"","","","","Diyarbakır(Kocaköy)-1962","243",""
"","","","","Diyarbakır(Kulp)-1490","456",""
"","","","","Diyarbakır(Lice)-1504","354",""
"","","","","Diyarbakır(Silvan)-1624","1195",""
"","","","","Diyarbakır(Sur)-2042","1776",""
"","","","","Diyarbakır(Yenişehir)-2043","2611",""
"","","","","Düzce(Akçakoca)-1116","240",""
"","","","","Düzce(Çilimli)-1905","107",""
"","","","","Düzce(Cumayeri)-1784","112",""
"","","","","Düzce(Gölyaka)-1794","144",""
"","","","","Düzce(Gümüşova)-2017","93",""
"","","","","Düzce(Kaynaşlı)-2031","167",""
"","","","","Düzce(Merkez)-1292","1673",""
"","","","","Düzce(Yığılca)-1730","118",""
"","","","","Edirne(Enez)-1307","47",""
"","","","","Edirne(Havsa)-1385","75",""
"","","","","Edirne(İpsala)-1412","145",""
"","","","","Edirne(Keşan)-1464","466",""
"","","","","Edirne(Lalapaşa)-1502","35",""
"","","","","Edirne(Meriç)-1523","39",""
"","","","","Edirne(Merkez)-1295","920",""
"","","","","Edirne(Süloğlu)-1988","38",""
"","","","","Edirne(Uzunköprü)-1705","305",""
"","","","","Elazığ(Ağın)-1110","14",""
"","","","","Elazığ(Alacakaya)-1873","53",""
