"cinsiyet","","","yil","il","sayi",""
"","","","","Afyonkarahisar(Emirdağ)-1306","279",""
"","","","","Afyonkarahisar(Evciler)-1923","37",""
"","","","","Afyonkarahisar(Hocalar)-1944","54",""
"","","","","Afyonkarahisar(İhsaniye)-1404","236",""
"","","","","Afyonkarahisar(İscehisar)-1809","274",""
"","","","","Afyonkarahisar(Kızılören)-1961","8",""
"","","","","Afyonkarahisar(Merkez)-1108","2513",""
"","","","","Afyonkarahisar(Sandıklı)-1594","412",""
"","","","","Afyonkarahisar(Sinanpaşa)-1626","307",""
"","","","","Afyonkarahisar(Şuhut)-1664","251",""
"","","","","Afyonkarahisar(Sultandağı)-1639","76",""
"","","","","Ağrı(Diyadin)-1283","703",""
"","","","","Ağrı(Doğubayazıt)-1287","1810",""
"","","","","Ağrı(Eleşkirt)-1301","516",""
"","","","","Ağrı(Hamur)-1379","291",""
"","","","","Ağrı(Merkez)-1111","2024",""
"","","","","Ağrı(Patnos)-1568","2103",""
"","","","","Ağrı(Taşlıçay)-1667","322",""
"","","","","Ağrı(Tutak)-1691","446",""
"","","","","Aksaray(Ağaçören)-1860","44",""
"","","","","Aksaray(Eskil)-1921","243",""
"","","","","Aksaray(Gülağaç)-1932","197",""
"","","","","Aksaray(Güzelyurt)-1861","93",""
"","","","","Aksaray(Merkez)-1120","2660",""
"","","","","Aksaray(Ortaköy)-1557","230",""
"","","","","Aksaray(Sarıyahşi)-1866","25",""
"","","","","Amasya(Göynücek)-1363","63",""
"","","","","Amasya(Gümüşhacıköy)-1368","90",""
"","","","","Amasya(Hamamözü)-1938","20",""
"","","","","Amasya(Merkez)-1134","928",""
"","","","","Amasya(Merzifon)-1524","456",""
"","","","","Amasya(Suluova)-1641","352",""
"","","","","Amasya(Taşova)-1668","146",""
"","","","","Ankara(Akyurt)-1872","295",""
"","","","","Ankara(Altındağ)-1130","3015",""
"","","","","Ankara(Ayaş)-1157","68",""
"","","","","Ankara(Bala)-1167","123",""
"","","","","Ankara(Beypazarı)-1187","323",""
"","","","","Ankara(Çamlıdere)-1227","24",""
"","","","","Ankara(Çankaya)-1231","4736",""
"","","","","Ankara(Çubuk)-1260","650",""
"","","","","Ankara(Elmadağ)-1302","297",""
"","","","","Ankara(Etimesgut)-1922","4590",""
"","","","","Ankara(Evren)-1924","14",""
"","","","","Ankara(Gölbaşı)-1744","987",""
"","","","","Ankara(Güdül)-1365","36",""
"","","","","Ankara(Haymana)-1387","220",""
"","","","","Ankara(Kalecik)-1427","70",""
"","","","","Ankara(Kazan)-1815","418",""
"","","","","Ankara(Keçiören)-1745","6921",""
"","","","","Ankara(Kızılcahamam)-1473","111",""
"","","","","Ankara(Mamak)-1746","4733",""
"","","","","Ankara(Nallıhan)-1539","164",""
"","","","","Ankara(Polatlı)-1578","1004",""
"","","","","Ankara(Pursaklar)-2034","1267",""
"","","","","Ankara(Şereflikoçhisar)-1658","232",""
"","","","","Ankara(Sincan)-1747","4556",""
"","","","","Ankara(Yenimahalle)-1723","4642",""
"","","","","Antalya(Akseki)-1121","46",""
"","","","","Antalya(Aksu)-2035","603",""
"","","","","Antalya(Alanya)-1126","2458",""
"","","","","Antalya(Demre)-1811","210",""
"","","","","Antalya(Döşemealtı)-2036","420",""
"","","","","Antalya(Elmalı)-1303","245",""
"","","","","Antalya(Finike)-1333","362",""
"","","","","Antalya(Gazipaşa)-1337","303",""
"","","","","Antalya(Gündoğmuş)-1370","35",""
"","","","","Antalya(İbradı)-1946","14",""
"","","","","Antalya(Kaş)-1451","422",""
"","","","","Antalya(Kemer)-1959","370",""
"","","","","Antalya(Kepez)-2037","4629",""
"","","","","Antalya(Konyaaltı)-2038","1065",""
"","","","","Antalya(Korkuteli)-1483","404",""
"","","","","Antalya(Kumluca)-1492","446",""
"","","","","Antalya(Manavgat)-1512","2072",""
"","","","","Antalya(Muratpaşa)-2039","3383",""
"","","","","Antalya(Serik)-1616","901",""
"","","","","Ardahan(Çıldır)-1252","63",""
"","","","","Ardahan(Damal)-2008","25",""
"","","","","Ardahan(Göle)-1356","202",""
"","","","","Ardahan(Hanak)-1380","63",""
"","","","","Ardahan(Merkez)-1144","365",""
"","","","","Ardahan(Posof)-1579","36",""
"","","","","Artvin(Ardanuç)-1145","43",""
"","","","","Artvin(Arhavi)-1147","126",""
"","","","","Artvin(Borçka)-1202","169",""
"","","","","Artvin(Hopa)-1395","245",""
"","","","","Artvin(Merkez)-1152","212",""
"","","","","Artvin(Murgul)-1828","44",""
"","","","","Artvin(Şavşat)-1653","52",""
"","","","","Artvin(Yusufeli)-1736","98",""
"","","","","Aydın(Bozdoğan)-1206","214",""
"","","","","Aydın(Buharkent)-1781","88",""
"","","","","Aydın(Çine)-1256","240",""
"","","","","Aydın(Didim)-2000","492",""
"","","","","Aydın(Efeler)-2076","2004",""
"","","","","Aydın(Germencik)-1348","365",""
"","","","","Aydın(İncirliova)-1807","406",""
"","","","","Aydın(Karacasu)-1435","99",""
"","","","","Aydın(Karpuzlu)-1957","52",""
"","","","","Aydın(Koçarlı)-1479","111",""
"","","","","Aydın(Köşk)-1968","200",""
"","","","","Aydın(Kuşadası)-1497","648",""
"","","","","Aydın(Kuyucak)-1498","134",""
"","","","","Aydın(Nazilli)-1542","960",""
"","","","","Aydın(Söke)-1637","861",""
"","","","","Aydın(Sultanhisar)-1640","119",""
"","","","","Aydın(Yenipazar)-1724","62",""
"","","","","Balıkesir(Altıeylül)-2077","1012",""
"","","","","Balıkesir(Ayvalık)-1161","377",""
"","","","","Balıkesir(Balya)-1169","38",""
"","","","","Balıkesir(Bandırma)-1171","932",""
"","","","","Balıkesir(Bigadiç)-1191","226",""
"","","","","Balıkesir(Burhaniye)-1216","313",""
"","","","","Balıkesir(Dursunbey)-1291","216",""
"","","","","Balıkesir(Edremit)-1294","793",""
"","","","","Balıkesir(Erdek)-1310","154",""
"","","","","Balıkesir(Gömeç)-1928","87",""
"","","","","Balıkesir(Gönen)-1360","387",""
"","","","","Balıkesir(Havran)-1384","173",""
"","","","","Balıkesir(İvrindi)-1418","158",""
"","","","","Balıkesir(Karesi)-2078","1070",""
"","","","","Balıkesir(Kepsut)-1462","100",""
"","","","","Balıkesir(Manyas)-1514","86",""
"","","","","Balıkesir(Marmara)-1824","65",""
"","","","","Balıkesir(Savaştepe)-1608","116",""
"","","","","Balıkesir(Sındırgı)-1619","121",""
"","","","","Balıkesir(Susurluk)-1644","190",""
"","","","","Bartın(Amasra)-1761","79",""
"","","","","Bartın(Kurucaşile)-1496","38",""
"","","","","Bartın(Merkez)-1172","895",""
"","","","","Bartın(Ulus)-1701","83",""
"","","","","Batman(Beşiri)-1184","354",""
"","","","","Batman(Gercüş)-1345","260",""
"","","","","Batman(Hasankeyf)-1941","84",""
"","","","","Batman(Kozluk)-1487","784",""
"","","","","Batman(Merkez)-1174","5654",""
"","","","","Batman(Sason)-1607","340",""
"","","","","Bayburt(Aydıntepe)-1767","31",""
"","","","","Bayburt(Demirözü)-1788","69",""
"","","","","Bayburt(Merkez)-1176","555",""
"","","","","Bilecik(Bozüyük)-1210","536",""
"","","","","Bilecik(Gölpazarı)-1359","33",""
"","","","","Bilecik(İnhisar)-1948","7",""
"","","","","Bilecik(Merkez)-1192","459",""
"","","","","Bilecik(Osmaneli)-1559","150",""
"","","","","Bilecik(Pazaryeri)-1571","51",""
"","","","","Bilecik(Söğüt)-1636","114",""
"","","","","Bilecik(Yenipazar)-1857","9",""
"","","","","Bingöl(Adaklı)-1750","59",""
"","","","","Bingöl(Genç)-1344","358",""
"","","","","Bingöl(Karlıova)-1446","401",""
"","","","","Bingöl(Kiğı)-1475","39",""
"","","","","Bingöl(Merkez)-1193","1571",""
"","","","","Bingöl(Solhan)-1633","364",""
"","","","","Bingöl(Yayladere)-1855","6",""
"","","","","Bingöl(Yedisu)-1996","23",""
"","","","","Bitlis(Adilcevaz)-1106","491",""
"","","","","Bitlis(Ahlat)-1112","607",""
"","","","","Bitlis(Güroymak)-1798","694",""
"","","","","Bitlis(Hizan)-1394","466",""
"","","","","Bitlis(Merkez)-1196","795",""
"","","","","Bitlis(Mutki)-1537","429",""
"","","","","Bitlis(Tatvan)-1669","1235",""
"","","","","Bolu(Dörtdivan)-1916","24",""
"","","","","Bolu(Gerede)-1346","197",""
"","","","","Bolu(Göynük)-1364","93",""
"","","","","Bolu(Kıbrıscık)-1466","13",""
"","","","","Bolu(Mengen)-1522","77",""
"","","","","Bolu(Merkez)-1199","1206",""
"","","","","Bolu(Mudurnu)-1531","112",""
"","","","","Bolu(Seben)-1610","12",""
"","","","","Bolu(Yeniçağa)-1997","35",""
"","","","","Burdur(Ağlasun)-1109","49",""
"","","","","Burdur(Altınyayla)-1874","28",""
"","","","","Burdur(Bucak)-1211","472",""
"","","","","Burdur(Çavdır)-1899","80",""
"","","","","Burdur(Çeltikçi)-1903","29",""
"","","","","Burdur(Gölhisar)-1357","119",""
"","","","","Burdur(Karamanlı)-1813","47",""
"","","","","Burdur(Kemer)-1816","22",""
"","","","","Burdur(Merkez)-1215","627",""
"","","","","Burdur(Tefenni)-1672","66",""
"","","","","Burdur(Yeşilova)-1728","64",""
"","","","","Bursa(Büyükorhan)-1783","62",""
"","","","","Bursa(Gemlik)-1343","728",""
"","","","","Bursa(Gürsu)-1935","753",""
"","","","","Bursa(Harmancık)-1799","31",""
"","","","","Bursa(İnegöl)-1411","2187",""
"","","","","Bursa(İznik)-1420","231",""
"","","","","Bursa(Karacabey)-1434","614",""
"","","","","Bursa(Keles)-1457","51",""
"","","","","Bursa(Kestel)-1960","384",""
"","","","","Bursa(Mudanya)-1530","412",""
"","","","","Bursa(Mustafakemalpaşa)-1535","617",""
"","","","","Bursa(Nilüfer)-1829","2976",""
"","","","","Bursa(Orhaneli)-1553","108",""
"","","","","Bursa(Orhangazi)-1554","539",""
"","","","","Bursa(Osmangazi)-1832","6472",""
"","","","","Bursa(Yenişehir)-1725","378",""
"","","","","Bursa(Yıldırım)-1859","5579",""
"","","","","Çanakkale(Ayvacık)-1160","148",""
"","","","","Çanakkale(Bayramiç)-1180","154",""
"","","","","Çanakkale(Biga)-1190","505",""
"","","","","Çanakkale(Bozcaada)-1205","19",""
"","","","","Çanakkale(Çan)-1229","261",""
"","","","","Çanakkale(Eceabat)-1293","55",""
"","","","","Çanakkale(Ezine)-1326","187",""
"","","","","Çanakkale(Gelibolu)-1340","223",""
"","","","","Çanakkale(Gökçeada)-1408","61",""
"","","","","Çanakkale(Lapseki)-1503","124",""
"","","","","Çanakkale(Merkez)-1230","939",""
"","","","","Çanakkale(Yenice)-1722","123",""
"","","","","Çankırı(Atkaracalar)-1765","23",""
"","","","","Çankırı(Bayramören)-1885","4",""
"","","","","Çankırı(Çerkeş)-1248","100",""
"","","","","Çankırı(Eldivan)-1300","23",""
"","","","","Çankırı(Ilgaz)-1399","72",""
"","","","","Çankırı(Kızılırmak)-1817","31",""
"","","","","Çankırı(Korgun)-1963","13",""
"","","","","Çankırı(Kurşunlu)-1494","51",""
"","","","","Çankırı(Merkez)-1232","621",""
"","","","","Çankırı(Orta)-1555","57",""
"","","","","Çankırı(Şabanözü)-1649","72",""
"","","","","Çankırı(Yapraklı)-1718","47",""
"","","","","Çorum(Alaca)-1124","214",""
"","","","","Çorum(Bayat)-1177","126",""
"","","","","Çorum(Boğazkale)-1778","15",""
"","","","","Çorum(Dodurga)-1911","35",""
"","","","","Çorum(İskilip)-1414","164",""
"","","","","Çorum(Kargı)-1445","63",""
"","","","","Çorum(Laçin)-1972","19",""
"","","","","Çorum(Mecitözü)-1520","68",""
"","","","","Çorum(Merkez)-1259","1956",""
"","","","","Çorum(Oğuzlar)-1976","32",""
"","","","","Çorum(Ortaköy)-1556","47",""
"","","","","Çorum(Osmancık)-1558","305",""
"","","","","Çorum(Sungurlu)-1642","354",""
"","","","","Çorum(Uğurludağ)-1850","37",""
"","","","","Denizli(Acıpayam)-1102","327",""
"","","","","Denizli(Babadağ)-1769","52",""
"","","","","Denizli(Baklan)-1881","29",""
"","","","","Denizli(Bekilli)-1774","32",""
"","","","","Denizli(Beyağaç)-1888","50",""
"","","","","Denizli(Bozkurt)-1889","67",""
"","","","","Denizli(Buldan)-1214","158",""
"","","","","Denizli(Çal)-1224","76",""
"","","","","Denizli(Çameli)-1226","85",""
"","","","","Denizli(Çardak)-1233","59",""
"","","","","Denizli(Çivril)-1257","405",""
"","","","","Denizli(Güney)-1371","61",""
"","","","","Denizli(Honaz)-1803","238",""
"","","","","Denizli(Kale)-1426","149",""
"","","","","Denizli(Merkezefendi)-2079","2289",""
"","","","","Denizli(Pamukkale)-1871","2456",""
"","","","","Denizli(Sarayköy)-1597","195",""
"","","","","Denizli(Serinhisar)-1840","107",""
"","","","","Denizli(Tavas)-1670","209",""
"","","","","Diyarbakır(Bağlar)-2040","5277",""
"","","","","Diyarbakır(Bismil)-1195","1625",""
"","","","","Diyarbakır(Çermik)-1249","659",""
"","","","","Diyarbakır(Çınar)-1253","1219",""
"","","","","Diyarbakır(Çüngüş)-1263","147",""
"","","","","Diyarbakır(Dicle)-1278","506",""
"","","","","Diyarbakır(Eğil)-1791","323",""
"","","","","Diyarbakır(Ergani)-1315","1605",""
"","","","","Diyarbakır(Hani)-1381","461",""
"","","","","Diyarbakır(Hazro)-1389","245",""
"","","","","Diyarbakır(Kayapınar)-2041","3797",""
"","","","","Diyarbakır(Kocaköy)-1962","238",""
"","","","","Diyarbakır(Kulp)-1490","432",""
"","","","","Diyarbakır(Lice)-1504","323",""
"","","","","Diyarbakır(Silvan)-1624","1204",""
"","","","","Diyarbakır(Sur)-2042","1681",""
"","","","","Diyarbakır(Yenişehir)-2043","2600",""
"","","","","Düzce(Akçakoca)-1116","230",""
"","","","","Düzce(Çilimli)-1905","127",""
"","","","","Düzce(Cumayeri)-1784","97",""
"","","","","Düzce(Gölyaka)-1794","124",""
"","","","","Düzce(Gümüşova)-2017","81",""
"","","","","Düzce(Kaynaşlı)-2031","159",""
"","","","","Düzce(Merkez)-1292","1722",""
"","","","","Düzce(Yığılca)-1730","109",""
"","","","","Edirne(Enez)-1307","51",""
"","","","","Edirne(Havsa)-1385","65",""
"","","","","Edirne(İpsala)-1412","128",""
"","","","","Edirne(Keşan)-1464","517",""
"","","","","Edirne(Lalapaşa)-1502","30",""
"","","","","Edirne(Meriç)-1523","60",""
"","","","","Edirne(Merkez)-1295","965",""
"","","","","Edirne(Süloğlu)-1988","42",""
"","","","","Edirne(Uzunköprü)-1705","292",""
"","","","","Elazığ(Ağın)-1110","8",""
"","","","","Elazığ(Alacakaya)-1873","57",""
"","","","","Elazığ(Arıcak)-1762","161",""
"","","","","Elazığ(Baskil)-1173","74",""
"","","","","Elazığ(Karakoçan)-1438","276",""
"","","","","Elazığ(Keban)-1455","35",""
"","","","","Elazığ(Kovancılar)-1820","436",""
"","","","","Elazığ(Maden)-1506","80",""
"","","","","Elazığ(Merkez)-1298","3214",""
"","","","","Elazığ(Palu)-1566","199",""
"","","","","Elazığ(Sivrice)-1631","53",""
"","","","","Erzincan(Çayırlı)-1243","57",""
"","","","","Erzincan(İliç)-1406","61",""
"","","","","Erzincan(Kemah)-1459","28",""
"","","","","Erzincan(Kemaliye)-1460","22",""
"","","","","Erzincan(Merkez)-1318","1124",""
"","","","","Erzincan(Otlukbeli)-1977","19",""
"","","","","Erzincan(Refahiye)-1583","46",""
"","","","","Erzincan(Tercan)-1675","146",""
"","","","","Erzincan(Üzümlü)-1853","61",""
"","","","","Erzurum(Aşkale)-1153","213",""
"","","","","Erzurum(Aziziye)-1945","517",""
"","","","","Erzurum(Çat)-1235","197",""
"","","","","Erzurum(Hınıs)-1392","346",""
"","","","","Erzurum(Horasan)-1396","489",""
"","","","","Erzurum(İspir)-1416","83",""
"","","","","Erzurum(Karaçoban)-1812","394",""
"","","","","Erzurum(Karayazı)-1444","383",""
"","","","","Erzurum(Köprüköy)-1967","232",""
"","","","","Erzurum(Narman)-1540","104",""
"","","","","Erzurum(Oltu)-1550","191",""
"","","","","Erzurum(Olur)-1551","32",""
"","","","","Erzurum(Palandöken)-2044","1800",""
"","","","","Erzurum(Pasinler)-1567","378",""
"","","","","Erzurum(Pazaryolu)-1865","21",""
"","","","","Erzurum(Şenkaya)-1657","151",""
"","","","","Erzurum(Tekman)-1674","343",""
"","","","","Erzurum(Tortum)-1683","113",""
"","","","","Erzurum(Uzundere)-1851","50",""
"","","","","Erzurum(Yakutiye)-2045","1817",""
"","","","","Eskişehir(Alpu)-1759","70",""
"","","","","Eskişehir(Beylikova)-1777","35",""
"","","","","Eskişehir(Çifteler)-1255","99",""
"","","","","Eskişehir(Günyüzü)-1934","34",""
"","","","","Eskişehir(Han)-1939","3",""
"","","","","Eskişehir(İnönü)-1808","37",""
"","","","","Eskişehir(Mahmudiye)-1508","54",""
"","","","","Eskişehir(Mihalgazi)-1973","12",""
"","","","","Eskişehir(Mihalıççık)-1527","38",""
"","","","","Eskişehir(Odunpazarı)-2046","2441",""
"","","","","Eskişehir(Sarıcakaya)-1599","15",""
"","","","","Eskişehir(Seyitgazi)-1618","56",""
"","","","","Eskişehir(Sivrihisar)-1632","101",""
"","","","","Eskişehir(Tepebaşı)-2047","2124",""
"","","","","Gaziantep(Araban)-1139","428",""
"","","","","Gaziantep(İslahiye)-1415","602",""
"","","","","Gaziantep(Karkamış)-1956","124",""
"","","","","Gaziantep(Nizip)-1546","1673",""
"","","","","Gaziantep(Nurdağı)-1974","398",""
"","","","","Gaziantep(Oğuzeli)-1549","363",""
"","","","","Gaziantep(Şahinbey)-1841","11153",""
"","","","","Gaziantep(Şehitkamil)-1844","9673",""
"","","","","Gaziantep(Yavuzeli)-1720","346",""
"","","","","Giresun(Alucra)-1133","44",""
"","","","","Giresun(Bulancak)-1212","394",""
"","","","","Giresun(Çamoluk)-1893","20",""
"","","","","Giresun(Çanakçı)-1894","29",""
"","","","","Giresun(Dereli)-1272","84",""
"","","","","Giresun(Doğankent)-1912","46",""
"","","","","Giresun(Espiye)-1320","212",""
"","","","","Giresun(Eynesil)-1324","57",""
"","","","","Giresun(Görele)-1361","140",""
"","","","","Giresun(Güce)-1930","39",""
"","","","","Giresun(Keşap)-1465","90",""
"","","","","Giresun(Merkez)-1352","763",""
"","","","","Giresun(Piraziz)-1837","60",""
"","","","","Giresun(Şebinkarahisar)-1654","128",""
"","","","","Giresun(Tirebolu)-1678","189",""
"","","","","Giresun(Yağlıdere)-1854","85",""
"","","","","Gümüşhane(Kelkit)-1458","300",""
"","","","","Gümüşhane(Köse)-1822","37",""
"","","","","Gümüşhane(Kürtün)-1971","77",""
"","","","","Gümüşhane(Merkez)-1369","350",""
"","","","","Gümüşhane(Şiran)-1660","107",""
"","","","","Gümüşhane(Torul)-1684","60",""
"","","","","Hakkari(Çukurca)-1261","133",""
"","","","","Hakkari(Merkez)-1377","834",""
"","","","","Hakkari(Şemdinli)-1656","696",""
"","","","","Hakkari(Yüksekova)-1737","1383",""
"","","","","Hatay(Altınözü)-1131","821",""
"","","","","Hatay(Antakya)-2080","4087",""
"","","","","Hatay(Arsuz)-2081","791",""
"","","","","Hatay(Belen)-1887","274",""
"","","","","Hatay(Defne)-2082","1300",""
"","","","","Hatay(Dörtyol)-1289","1143",""
"","","","","Hatay(Erzin)-1792","419",""
"","","","","Hatay(Hassa)-1382","488",""
"","","","","Hatay(İskenderun)-1413","2198",""
"","","","","Hatay(Kırıkhan)-1468","1203",""
"","","","","Hatay(Kumlu)-1970","176",""
"","","","","Hatay(Payas)-2083","393",""
"","","","","Hatay(Reyhanlı)-1585","1280",""
"","","","","Hatay(Samandağ)-1591","1174",""
"","","","","Hatay(Yayladağı)-1721","276",""
"","","","","Iğdır(Aralık)-1142","259",""
"","","","","Iğdır(Karakoyunlu)-2011","167",""
"","","","","Iğdır(Merkez)-1398","1695",""
"","","","","Iğdır(Tuzluca)-1692","219",""
"","","","","Isparta(Aksu)-1755","17",""
"","","","","Isparta(Atabey)-1154","36",""
"","","","","Isparta(Eğirdir)-1297","217",""
"","","","","Isparta(Gelendost)-1341","90",""
"","","","","Isparta(Gönen)-1929","48",""
"","","","","Isparta(Keçiborlu)-1456","57",""
"","","","","Isparta(Merkez)-1401","1641",""
"","","","","Isparta(Şarkikaraağaç)-1651","136",""
"","","","","Isparta(Senirkent)-1615","62",""
"","","","","Isparta(Sütçüler)-1648","53",""
"","","","","Isparta(Uluborlu)-1699","25",""
"","","","","Isparta(Yalvaç)-1717","307",""
"","","","","Isparta(Yenişarbademli)-2001","9",""
"","","","","İstanbul(Adalar)-1103","73",""
"","","","","İstanbul(Arnavutköy)-2048","2626",""
"","","","","İstanbul(Ataşehir)-2049","3211",""
"","","","","İstanbul(Avcılar)-2003","3760",""
"","","","","İstanbul(Bağcılar)-2004","7420",""
"","","","","İstanbul(Bahçelievler)-2005","5114",""
"","","","","İstanbul(Bakırköy)-1166","1061",""
"","","","","İstanbul(Başakşehir)-2050","3379",""
"","","","","İstanbul(Bayrampaşa)-1886","2080",""
"","","","","İstanbul(Beşiktaş)-1183","908",""
"","","","","İstanbul(Beykoz)-1185","1729",""
"","","","","İstanbul(Beylikdüzü)-2051","2283",""
"","","","","İstanbul(Beyoğlu)-1186","1794",""
"","","","","İstanbul(Büyükçekmece)-1782","1860",""
"","","","","İstanbul(Çatalca)-1237","387",""
"","","","","İstanbul(Çekmeköy)-2052","2246",""
"","","","","İstanbul(Esenler)-2016","4346",""
"","","","","İstanbul(Esenyurt)-2053","8654",""
"","","","","İstanbul(Eyüp)-1325","3119",""
"","","","","İstanbul(Fatih)-1327","2751",""
"","","","","İstanbul(Gaziosmanpaşa)-1336","4496",""
"","","","","İstanbul(Güngören)-2010","2575",""
"","","","","İstanbul(Kadıköy)-1421","1934",""
"","","","","İstanbul(Kağıthane)-1810","3568",""
"","","","","İstanbul(Kartal)-1449","3418",""
"","","","","İstanbul(Küçükçekmece)-1823","6790",""
"","","","","İstanbul(Maltepe)-2012","3584",""
"","","","","İstanbul(Pendik)-1835","6303",""
"","","","","İstanbul(Sancaktepe)-2054","3894",""
"","","","","İstanbul(Sarıyer)-1604","2101",""
"","","","","İstanbul(Şile)-1659","185",""
"","","","","İstanbul(Silivri)-1622","1239",""
"","","","","İstanbul(Şişli)-1663","1611",""
"","","","","İstanbul(Sultanbeyli)-2014","3732",""
"","","","","İstanbul(Sultangazi)-2055","5571",""
"","","","","İstanbul(Tuzla)-2015","2042",""
"","","","","İstanbul(Ümraniye)-1852","6378",""
"","","","","İstanbul(Üsküdar)-1708","3584",""
"","","","","İstanbul(Zeytinburnu)-1739","2531",""
"","","","","İzmir(Aliağa)-1128","705",""
"","","","","İzmir(Balçova)-2006","360",""
"","","","","İzmir(Bayındır)-1178","256",""
"","","","","İzmir(Bayraklı)-2056","2306",""
"","","","","İzmir(Bergama)-1181","599",""
"","","","","İzmir(Beydağ)-1776","72",""
"","","","","İzmir(Bornova)-1203","3070",""
"","","","","İzmir(Buca)-1780","3500",""
"","","","","İzmir(Çeşme)-1251","240",""
"","","","","İzmir(Çiğli)-2007","1269",""
"","","","","İzmir(Dikili)-1280","193",""
"","","","","İzmir(Foça)-1334","140",""
"","","","","İzmir(Gaziemir)-2009","962",""
"","","","","İzmir(Güzelbahçe)-2018","156",""
"","","","","İzmir(Karabağlar)-2057","3500",""
"","","","","İzmir(Karaburun)-1432","29",""
"","","","","İzmir(Karşıyaka)-1448","1820",""
"","","","","İzmir(Kemalpaşa)-1461","794",""
"","","","","İzmir(Kınık)-1467","209",""
"","","","","İzmir(Kiraz)-1477","308",""
"","","","","İzmir(Konak)-1819","2338",""
"","","","","İzmir(Menderes)-1826","610",""
"","","","","İzmir(Menemen)-1521","1380",""
"","","","","İzmir(Narlıdere)-2013","363",""
"","","","","İzmir(Ödemiş)-1563","756",""
"","","","","İzmir(Seferihisar)-1611","223",""
"","","","","İzmir(Selçuk)-1612","201",""
"","","","","İzmir(Tire)-1677","475",""
"","","","","İzmir(Torbalı)-1682","1427",""
"","","","","İzmir(Urla)-1703","281",""
"","","","","Kahramanmaraş(Afşin)-1107","800",""
"","","","","Kahramanmaraş(Andırın)-1136","199",""
"","","","","Kahramanmaraş(Çağlayancerit)-1785","221",""
"","","","","Kahramanmaraş(Dulkadiroğlu)-2084","2333",""
"","","","","Kahramanmaraş(Ekinözü)-1919","91",""
"","","","","Kahramanmaraş(Elbistan)-1299","1358",""
"","","","","Kahramanmaraş(Göksun)-1353","409",""
"","","","","Kahramanmaraş(Nurhak)-1975","100",""
"","","","","Kahramanmaraş(Onikişubat)-2085","4226",""
"","","","","Kahramanmaraş(Pazarcık)-1570","711",""
"","","","","Kahramanmaraş(Türkoğlu)-1694","810",""
"","","","","Karabük(Eflani)-1296","24",""
"","","","","Karabük(Eskipazar)-1321","49",""
"","","","","Karabük(Merkez)-1433","756",""
"","","","","Karabük(Ovacık)-1561","15",""
"","","","","Karabük(Safranbolu)-1587","349",""
"","","","","Karabük(Yenice)-1856","95",""
"","","","","Karaman(Ayrancı)-1768","65",""
"","","","","Karaman(Başyayla)-1884","25",""
"","","","","Karaman(Ermenek)-1316","219",""
"","","","","Karaman(Kazımkarabekir)-1862","32",""
"","","","","Karaman(Merkez)-1439","1578",""
"","","","","Karaman(Sarıveliler)-1983","78",""
"","","","","Kars(Akyaka)-1756","90",""
"","","","","Kars(Arpaçay)-1149","145",""
"","","","","Kars(Digor)-1279","318",""
"","","","","Kars(Kağızman)-1424","556",""
"","","","","Kars(Merkez)-1447","1088",""
"","","","","Kars(Sarıkamış)-1601","561",""
"","","","","Kars(Selim)-1614","255",""
"","","","","Kars(Susuz)-1645","94",""
"","","","","Kastamonu(Abana)-1101","18",""
"","","","","Kastamonu(Ağlı)-1867","14",""
"","","","","Kastamonu(Araç)-1140","98",""
"","","","","Kastamonu(Azdavay)-1162","36",""
"","","","","Kastamonu(Bozkurt)-1208","41",""
"","","","","Kastamonu(Çatalzeytin)-1238","37",""
"","","","","Kastamonu(Cide)-1221","90",""
"","","","","Kastamonu(Daday)-1264","49",""
"","","","","Kastamonu(Devrekani)-1277","57",""
"","","","","Kastamonu(Doğanyurt)-1915","35",""
"","","","","Kastamonu(Hanönü)-1940","15",""
"","","","","Kastamonu(İhsangazi)-1805","28",""
"","","","","Kastamonu(İnebolu)-1410","135",""
"","","","","Kastamonu(Küre)-1499","34",""
"","","","","Kastamonu(Merkez)-1450","888",""
"","","","","Kastamonu(Pınarbaşı)-1836","20",""
"","","","","Kastamonu(Şenpazar)-1845","25",""
"","","","","Kastamonu(Seydiler)-1984","16",""
"","","","","Kastamonu(Taşköprü)-1666","190",""
"","","","","Kastamonu(Tosya)-1685","205",""
"","","","","Kayseri(Akkışla)-1752","22",""
"","","","","Kayseri(Bünyan)-1218","192",""
"","","","","Kayseri(Develi)-1275","458",""
"","","","","Kayseri(Felahiye)-1330","43",""
"","","","","Kayseri(Hacılar)-1936","93",""
"","","","","Kayseri(İncesu)-1409","190",""
"","","","","Kayseri(Kocasinan)-1863","3332",""
"","","","","Kayseri(Melikgazi)-1864","5131",""
"","","","","Kayseri(Özvatan)-1978","14",""
"","","","","Kayseri(Pınarbaşı)-1576","230",""
"","","","","Kayseri(Sarıoğlan)-1603","111",""
"","","","","Kayseri(Sarız)-1605","62",""
"","","","","Kayseri(Talas)-1846","1266",""
"","","","","Kayseri(Tomarza)-1680","182",""
"","","","","Kayseri(Yahyalı)-1715","316",""
"","","","","Kayseri(Yeşilhisar)-1727","119",""
"","","","","Kilis(Elbeyli)-2023","79",""
"","","","","Kilis(Merkez)-1476","1221",""
"","","","","Kilis(Musabeyli)-2024","176",""
"","","","","Kilis(Polateli)-2025","74",""
"","","","","Kırıkkale(Bahşili)-1880","58",""
