yil,cinsiyet,il,n
2015,Erkek,Balikesir,6614
2015,Erkek,Bartin,1095
2015,Erkek,Batman,7476
2015,Erkek,Bayburt,655
2015,Erkek,Bilecik,1359
2015,Erkek,Bingol,2821
2015,Erkek,Bitlis,4717
2015,Erkek,Bolu,1769
2015,Erkek,Burdur,1603
2015,Erkek,Bursa,22122
2015,Erkek,Canakkale,2799
2015,Erkek,Cankiri,1114
2015,Erkek,Corum,3435
2015,Erkek,Denizli,7044
2015,Erkek,Diyarbakir,22342
2015,Erkek,Duzce,2649
2015,Erkek,Edirne,2150
2015,Erkek,Elazig,4593
2015,Erkek,Erzincan,1564
2015,Erkek,Erzurum,7854
2015,Erkek,Eskisehir,5119
2015,Erkek,Gaziantep,24760
2015,Erkek,Giresun,2380
2015,Erkek,Gumushane,931
2015,Erkek,Hakkari,3046
2015,Erkek,Hatay,16023
2015,Erkek,Igdir,2340
2015,Erkek,Isparta,2698
2015,Erkek,Istanbul,124337
2015,Erkek,Izmir,28542
2015,Erkek,Kahramanmaras,11258
2015,Erkek,Karabuk,1288
2015,Erkek,Karaman,1997
2015,Erkek,Kars,3107
2015,Erkek,Kastamonu,2031
2015,Erkek,Kayseri,11761
2015,Erkek,Kirikkale,1722
2015,Erkek,Kirklareli,1931
2015,Erkek,Kirsehir,1489
2015,Erkek,Kilis,1550
2015,Erkek,Kocaeli,15929
2015,Erkek,Konya,18674
2015,Erkek,Kutahya,3571
2015,Erkek,Malatya,6154
2015,Erkek,Manisa,10022
2015,Erkek,Mardin,11027
2015,Erkek,Mersin,14648
2015,Erkek,Mugla,5869
2015,Erkek,Mus,5777
2015,Erkek,Nevsehir,2123
2015,Erkek,Nigde,2939
2015,Erkek,Ordu,4630
2015,Erkek,Osmaniye,4756
2015,Erkek,Rize,2137
2015,Erkek,Sakarya,7317
2015,Erkek,Samsun,8892
2015,Erkek,Siirt,4366
2015,Erkek,Sinop,1157
2015,Erkek,Sivas,4748
2015,Erkek,Sanliurfa,31966
2015,Erkek,Sirnak,7441
2015,Erkek,Tekirdag,7239
2015,Erkek,Tokat,3738
2015,Erkek,Trabzon,5271
2015,Erkek,Tunceli,561
2015,Erkek,Usak,2361
2015,Erkek,Van,15314
2015,Erkek,Yalova,1542
2015,Erkek,Yozgat,3181
2015,Erkek,Zonguldak,3391
2015,Kız,Adana,19211
2015,Kız,Adiyaman,6543
2015,Kız,Afyonkarahisar,5389
2015,Kız,Agri,7684
2015,Kız,Aksaray,3282
2015,Kız,Amasya,1901
2015,Kız,Ankara,37720
2015,Kız,Antalya,17375
2015,Kız,Ardahan,783
2015,Kız,Artvin,997
2015,Kız,Aydin,6745
2015,Kız,Balikesir,6276
2015,Kız,Bartin,1030
2015,Kız,Batman,7023
2015,Kız,Bayburt,580
2015,Kız,Bilecik,1297
2015,Kız,Bingol,2649
2015,Kız,Bitlis,4306
2015,Kız,Bolu,1655
2015,Kız,Burdur,1458
2015,Kız,Bursa,21074
2015,Kız,Canakkale,2560
2015,Kız,Cankiri,1051
2015,Kız,Corum,3214
2015,Kız,Denizli,6837
2015,Kız,Diyarbakir,21165
2015,Kız,Duzce,2462
2015,Kız,Edirne,2097
2015,Kız,Elazig,4375
2015,Kız,Erzincan,1524
2015,Kız,Erzurum,7376
2015,Kız,Eskisehir,4857
2015,Kız,Gaziantep,23887
2015,Kız,Giresun,2232
2015,Kız,Gumushane,935
2015,Kız,Hakkari,2841
2015,Kız,Hatay,15301
2015,Kız,Igdir,2185
2015,Kız,Isparta,2523
2015,Kız,Istanbul,117927
2015,Kız,Izmir,27272
2015,Kız,Kahramanmaras,10689
2015,Kız,Karabuk,1217
2015,Kız,Karaman,1850
2015,Kız,Kars,2951
2015,Kız,Kastamonu,1993
2015,Kız,Kayseri,11246
2015,Kız,Kirikkale,1610
2015,Kız,Kirklareli,1778
2015,Kız,Kirsehir,1426
2015,Kız,Kilis,1420
2015,Kız,Kocaeli,14921
2015,Kız,Konya,17660
2015,Kız,Kutahya,3342
2015,Kız,Malatya,5839
2015,Kız,Manisa,9395
2015,Kız,Mardin,10528
2015,Kız,Mersin,13799
2015,Kız,Mugla,5519
2015,Kız,Mus,5430
2015,Kız,Nevsehir,2044
2015,Kız,Nigde,2732
2015,Kız,Ordu,4337
2015,Kız,Osmaniye,4537
2015,Kız,Rize,2061
2015,Kız,Sakarya,6889
2015,Kız,Samsun,8298
2015,Kız,Siirt,4187
2015,Kız,Sinop,1100
2015,Kız,Sivas,4442
2015,Kız,Sanliurfa,30660
2015,Kız,Sirnak,7216
2015,Kız,Tekirdag,6878
2015,Kız,Tokat,3552
2015,Kız,Trabzon,5163
2015,Kız,Tunceli,516
2015,Kız,Usak,2181
2015,Kız,Van,14447
2015,Kız,Yalova,1464
2015,Kız,Yozgat,3006
2015,Kız,Zonguldak,3352
2016,Erkek,Adana,19396
2016,Erkek,Adiyaman,6630
2016,Erkek,Afyonkarahisar,5483
2016,Erkek,Agri,7857
2016,Erkek,Aksaray,3460
2016,Erkek,Amasya,1935
2016,Erkek,Ankara,39178
2016,Erkek,Antalya,18235
2016,Erkek,Ardahan,683
2016,Erkek,Artvin,1030
2016,Erkek,Aydin,7063
2016,Erkek,Balikesir,6573
2016,Erkek,Bartin,1108
2016,Erkek,Batman,7186
2016,Erkek,Bayburt,619
2016,Erkek,Bilecik,1374
2016,Erkek,Bingol,2854
2016,Erkek,Bitlis,4538
2016,Erkek,Bolu,1796
2016,Erkek,Burdur,1479
2016,Erkek,Bursa,22017
2016,Erkek,Canakkale,2780
2016,Erkek,Cankiri,1169
2016,Erkek,Corum,3409
2016,Erkek,Denizli,6957
2016,Erkek,Diyarbakir,22069
2016,Erkek,Duzce,2775
2016,Erkek,Edirne,2116
2016,Erkek,Elazig,4517
2016,Erkek,Erzincan,1646
2016,Erkek,Erzurum,7649
2016,Erkek,Eskisehir,5079
2016,Erkek,Gaziantep,24120
2016,Erkek,Giresun,2309
2016,Erkek,Gumushane,1005
2016,Erkek,Hakkari,2796
2016,Erkek,Hatay,15892
2016,Erkek,Igdir,2253
2016,Erkek,Isparta,2670
2016,Erkek,Istanbul,122586
2016,Erkek,Izmir,27950
2016,Erkek,Kahramanmaras,11182
2016,Erkek,Karabuk,1188
2016,Erkek,Karaman,1946
2016,Erkek,Kars,3000
2016,Erkek,Kastamonu,2110
2016,Erkek,Kayseri,11470
2016,Erkek,Kirikkale,1700
2016,Erkek,Kirklareli,1851
2016,Erkek,Kirsehir,1500
2016,Erkek,Kilis,1453
2016,Erkek,Kocaeli,15879
2016,Erkek,Konya,18430
2016,Erkek,Kutahya,3341
2016,Erkek,Malatya,6068
2016,Erkek,Manisa,9778
2016,Erkek,Mardin,10470
2016,Erkek,Mersin,14412
2016,Erkek,Mugla,5727
2016,Erkek,Mus,5432
2016,Erkek,Nevsehir,2133
2016,Erkek,Nigde,2929
2016,Erkek,Ordu,4617
2016,Erkek,Osmaniye,4720
2016,Erkek,Rize,2176
2016,Erkek,Sakarya,7344
2016,Erkek,Samsun,8610
2016,Erkek,Siirt,4389
2016,Erkek,Sinop,1131
2016,Erkek,Sivas,4703
2016,Erkek,Sanliurfa,32575
2016,Erkek,Sirnak,6414
2016,Erkek,Tekirdag,7394
2016,Erkek,Tokat,3684
2016,Erkek,Trabzon,5283
2016,Erkek,Tunceli,492
2016,Erkek,Usak,2182
2016,Erkek,Van,14720
2016,Erkek,Yalova,1665
2016,Erkek,Yozgat,2929
2016,Erkek,Zonguldak,3240
2016,Kız,Adana,18635
2016,Kız,Adiyaman,6291
2016,Kız,Afyonkarahisar,5184
2016,Kız,Agri,7557
2016,Kız,Aksaray,3189
2016,Kız,Amasya,1786
2016,Kız,Ankara,37002
2016,Kız,Antalya,17085
2016,Kız,Ardahan,721
2016,Kız,Artvin,959
2016,Kız,Aydin,6591
2016,Kız,Balikesir,6320
2016,Kız,Bartin,937
2016,Kız,Batman,7017
2016,Kız,Bayburt,588
2016,Kız,Bilecik,1322
2016,Kız,Bingol,2631
2016,Kız,Bitlis,4216
2016,Kız,Bolu,1687
2016,Kız,Burdur,1466
2016,Kız,Bursa,21047
2016,Kız,Canakkale,2640
2016,Kız,Cankiri,1046
2016,Kız,Corum,3200
2016,Kız,Denizli,6514
2016,Kız,Diyarbakir,20747
2016,Kız,Duzce,2520
2016,Kız,Edirne,1949
2016,Kız,Elazig,4245
2016,Kız,Erzincan,1560
2016,Kız,Erzurum,7212
2016,Kız,Eskisehir,4799
2016,Kız,Gaziantep,23165
2016,Kız,Giresun,2116
2016,Kız,Gumushane,889
2016,Kız,Hakkari,2695
2016,Kız,Hatay,14739
2016,Kız,Igdir,2143
2016,Kız,Isparta,2493
2016,Kız,Istanbul,116558
2016,Kız,Izmir,26465
2016,Kız,Kahramanmaras,10368
2016,Kız,Karabuk,1171
2016,Kız,Karaman,1864
2016,Kız,Kars,2813
2016,Kız,Kastamonu,1826
2016,Kız,Kayseri,10930
2016,Kız,Kirikkale,1588
2016,Kız,Kirklareli,1724
2016,Kız,Kirsehir,1385
2016,Kız,Kilis,1373
2016,Kız,Kocaeli,15232
2016,Kız,Konya,17532
2016,Kız,Kutahya,3226
2016,Kız,Malatya,5670
2016,Kız,Manisa,9402
2016,Kız,Mardin,9954
2016,Kız,Mersin,13628
2016,Kız,Mugla,5500
2016,Kız,Mus,5414
2016,Kız,Nevsehir,1987
2016,Kız,Nigde,2804
2016,Kız,Ordu,4433
2016,Kız,Osmaniye,4327
2016,Kız,Rize,1989
2016,Kız,Sakarya,7134
2016,Kız,Samsun,8311
2016,Kız,Siirt,3989
2016,Kız,Sinop,1089
2016,Kız,Sivas,4304
2016,Kız,Sanliurfa,30540
2016,Kız,Sirnak,6150
2016,Kız,Tekirdag,7033
2016,Kız,Tokat,3409
2016,Kız,Trabzon,5079
2016,Kız,Tunceli,476
2016,Kız,Usak,2204
2016,Kız,Van,13947
2016,Kız,Yalova,1593
2016,Kız,Yozgat,2818
2016,Kız,Zonguldak,3121
